sample_id	sseqid	evalue	bitscore	pident	qcov
14419-D3-1492R	RS-GCF-000705035.1-NZ-JMIF01000035.1	0.0	1955	97.152	96
14454-1492R-A1-A2	RS-GCF-004117055.1-NZ-CP026363.1--2	0.0	1976	97.573	97
14454-1492R-A1-A2	RS-GCF-004117055.1-NZ-CP026363.1--13	0.0	1972	97.490	97
14454-1492R-A1-A2	GB-GCA-000470975.2-CP048274.1--5	0.0	1972	97.490	97
14454-1492R-A1-A2	RS-GCF-004117055.1-NZ-CP026363.1--10	0.0	1967	97.406	97
14454-1492R-A1-A2	RS-GCF-900637055.1-NZ-LR134338.1--12	0.0	1963	97.322	97
14454-1492R-A1-A2	RS-GCF-900637055.1-NZ-LR134338.1--8	0.0	1963	97.322	97
14454-1492R-A1-A2	RS-GCF-900637055.1-NZ-LR134338.1--5	0.0	1963	97.322	97
14454-1492R-A1-A2	RS-GCF-900637055.1-NZ-LR134338.1	0.0	1963	97.322	97
14454-1492R-A1-A2	RS-GCF-003385915.1-NZ-QRDR01000054.1	0.0	1963	97.322	97
14454-1492R-A1-A2	RS-GCF-003013405.1-NZ-PXZL01000058.1	0.0	1963	97.322	97
14454-1492R-A1-A2	RS-GCF-002215075.1-NZ-CP018145.1--17	0.0	1963	97.322	97
14454-1492R-A1-A2	RS-GCF-002215075.1-NZ-CP018145.1--16	0.0	1963	97.322	97
14454-1492R-A1-A2	RS-GCF-003013445.1-NZ-PXZN01000044.1	0.0	1963	97.322	97
14454-1492R-A1-A2	RS-GCF-003013445.1-NZ-PXZN01000188.1	0.0	1963	97.322	97
14454-1492R-A1-A2	RS-GCF-001184755.1-NZ-LGJF01000001.1--6	0.0	1963	97.322	97
14454-1492R-A1-A2	RS-GCF-006864225.1-NZ-SADX01000025.1	0.0	1963	97.322	97
14454-1492R-A1-A2	G001423865	0.0	1963	97.322	97
14454-1492R-A1-A2	G001012775	0.0	1963	97.322	97
14454-1492R-A1-A2	G000010165	0.0	1963	97.322	97
14454-1492R-A1-A2	MXAR01000000	0.0	1963	97.322	97
14454-1492R-A1-A2	AB271756	0.0	1963	97.322	97
14454-1492R-A1-A2	AB112712	0.0	1963	97.322	97
14454-1492R-A1-A2	PXZM01000000	0.0	1963	97.322	97
14454-1492R-A1-A2	MJ010-1-barcode26-umi150910bins-ubs-3	0.0	1963	97.322	97
14454-1492R-A1-A2	MJ010-1-barcode26-umi104880bins-ubs-6	0.0	1963	97.322	97
14454-1492R-A1-A2	MJ010-1-barcode26-umi142856bins-ubs-3	0.0	1963	97.322	97
14454-1492R-A1-A2	MJ034-1-barcode34-umi21629bins-ubs-9	0.0	1963	97.322	97
14454-1492R-A1-A2	RS-GCF-005217615.1-NZ-SZNK01000001.1--15	0.0	1961	97.320	97
14454-1492R-A1-A2	RS-GCF-016811915.1-NZ-CP069127.1--13	0.0	1958	97.238	97
14454-1492R-A1-A2	RS-GCF-016811915.1-NZ-CP069127.1--3	0.0	1958	97.238	97
14454-1492R-A1-A2	RS-GCF-900637055.1-NZ-LR134338.1--14	0.0	1958	97.238	97
