sample_id	taxonomy	evalue	bitscore	pident	qcovhsp
qseqid		evalue	bitscore	pident	qcovhsp
demo1	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus croceilyticus	4.89e-136	482	97.288	98
demo1	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus pragensis	4.89e-136	482	97.288	98
demo1	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus capitis;Staphylococcus capitis subsp. urealyticus	4.89e-136	482	97.288	98
demo1	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus capitis	4.89e-136	482	97.288	98
demo1	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus capitis	4.89e-136	482	97.288	98
demo2	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis	3.09e-151	533	99.663	99
demo2	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus croceilyticus	1.08e-150	532	99.663	99
demo2	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus pragensis	1.08e-150	532	99.663	99
demo2	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis	1.08e-150	532	99.663	99
demo2	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus petrasii	1.31e-149	527	99.327	99
demo4	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis	8.84e-152	535	99.668	100
demo4	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis	1.08e-150	532	99.336	100
demo4	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus petrasii	1.08e-150	531	99.336	100
demo4	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus lugdunensis	1.08e-150	531	99.336	100
demo4	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus ratti	1.08e-150	531	99.336	100
demo5	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus croceilyticus	8.84e-152	535	99.668	100
demo5	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus pragensis	8.84e-152	535	99.668	100
demo5	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus capitis;Staphylococcus capitis subsp. urealyticus	8.84e-152	535	99.668	100
demo5	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus capitis	8.84e-152	535	99.668	100
demo5	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus capitis	8.84e-152	535	99.668	100
