sample_id 	sseqid   	pident  	qlen 	qcovhsp 	length 	evalue    	bitscore 	stitle                                                                                                                  	taxonomy                                                                                                                
demo1     	JN175379 	 97.627 	 300 	     98 	   295 	2.15e-136 	     488 	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus caprae                     	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus_caprae                     
demo1     	JX006285 	 97.627 	 300 	     98 	   295 	2.62e-135 	     484 	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;bacterium NLAE-zl-H36                     	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;bacterium_NLAE-zl-H36                     
demo1     	AF467410 	 97.627 	 300 	     98 	   295 	9.14e-135 	     483 	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;uncultured Staphylococcus sp.             	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;uncultured_Staphylococcus_sp.             
demo1     	AB233325 	 97.627 	 300 	     98 	   295 	9.14e-135 	     483 	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus capitis subsp. urealyticus 	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus_capitis_subsp._urealyticus 
demo1     	D83362   	 97.288 	 300 	     98 	   295 	9.14e-135 	     482 	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis                	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus_epidermidis                
demo2     	FJ957836 	100.000 	 300 	    100 	   300 	1.11e-152 	     542 	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;uncultured bacterium    	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;uncultured_bacterium    
demo2     	FJ957660 	100.000 	 300 	    100 	   300 	1.11e-152 	     542 	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;uncultured Staphylococcus sp.             	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;uncultured_Staphylococcus_sp.             
demo2     	FJ957673 	100.000 	 300 	    100 	   300 	1.11e-152 	     542 	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;uncultured Staphylococcus sp.             	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;uncultured_Staphylococcus_sp.             
demo2     	FJ957666 	100.000 	 300 	    100 	   300 	1.11e-152 	     542 	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;uncultured Staphylococcus sp.             	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;uncultured_Staphylococcus_sp.             
demo2     	FJ957697 	100.000 	 300 	    100 	   300 	1.11e-152 	     542 	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;uncultured bacterium                      	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;uncultured_bacterium                      
demo4     	KU922362 	100.000 	 300 	    100 	   300 	1.11e-152 	     542 	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis                	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus_epidermidis                
demo4     	FJ957843 	100.000 	 300 	    100 	   300 	1.11e-152 	     542 	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 13;uncultured bacterium           	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 13;uncultured_bacterium           
demo4     	MH518188 	100.000 	 300 	    100 	   300 	1.11e-152 	     542 	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis                	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus_epidermidis                
demo4     	FJ957657 	100.000 	 300 	    100 	   300 	1.11e-152 	     542 	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;uncultured bacterium                      	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;uncultured_bacterium                      
demo4     	KU922324 	100.000 	 300 	    100 	   300 	1.11e-152 	     542 	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis                	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus_epidermidis                
demo5     	JX006285 	 99.667 	 300 	    100 	   300 	1.36e-151 	     538 	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;bacterium NLAE-zl-H36                     	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;bacterium_NLAE-zl-H36                     
demo5     	AF467410 	 99.667 	 300 	    100 	   300 	4.73e-151 	     537 	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;uncultured Staphylococcus sp.             	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;uncultured_Staphylococcus_sp.             
demo5     	AB233325 	 99.667 	 300 	    100 	   300 	4.73e-151 	     537 	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus capitis subsp. urealyticus 	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus_capitis_subsp._urealyticus 
demo5     	JN175379 	 99.667 	 300 	    100 	   300 	4.73e-151 	     537 	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus caprae                     	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus_caprae                     
demo5     	D83362   	 99.668 	 300 	    100 	   301 	1.65e-150 	     535 	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis                	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus_epidermidis                
