qseqid	sseqid	pident	qlen	qcovhsp	length	evalue	bitscore	stitle
demo1	gi|922788119|ref|NR_132590.1|	97.288	300	98	295	4.89e-136	482	Staphylococcus croceilyticus strain MCC10046 16S ribosomal RNA, partial sequence
demo1	gi|1018196584|ref|NR_136463.1|	97.288	300	98	295	4.89e-136	482	Staphylococcus pragensis strain CCM 8529 16S ribosomal RNA, partial sequence
demo1	gi|228715347|ref|NR_027519.1|	97.288	300	98	295	4.89e-136	482	Staphylococcus capitis subsp. urealyticus strain MAW 8436 16S ribosomal RNA, partial sequence
demo1	gi|631252150|ref|NR_113348.1|	97.288	300	98	295	4.89e-136	482	Staphylococcus capitis strain JCM 2420 16S ribosomal RNA, partial sequence
demo1	gi|310974912|ref|NR_036775.1|	97.288	300	98	295	4.89e-136	482	Staphylococcus capitis strain LK 499 16S ribosomal RNA, partial sequence
demo2	gi|631252759|ref|NR_113957.1|	99.663	300	99	297	3.09e-151	533	Staphylococcus epidermidis strain NBRC 100911 16S ribosomal RNA, partial sequence
demo2	gi|922788119|ref|NR_132590.1|	99.663	300	99	297	1.08e-150	532	Staphylococcus croceilyticus strain MCC10046 16S ribosomal RNA, partial sequence
demo2	gi|1018196584|ref|NR_136463.1|	99.663	300	99	297	1.08e-150	532	Staphylococcus pragensis strain CCM 8529 16S ribosomal RNA, partial sequence
demo2	gi|310975040|ref|NR_036904.1|	99.663	300	99	297	1.08e-150	532	Staphylococcus epidermidis strain Fussel 16S ribosomal RNA, partial sequence
demo2	gi|645321498|ref|NR_118450.1|	99.327	300	99	297	1.31e-149	527	Staphylococcus petrasii strain CCM 8418 16S ribosomal RNA, partial sequence
demo4	gi|310975040|ref|NR_036904.1|	99.668	300	100	301	8.84e-152	535	Staphylococcus epidermidis strain Fussel 16S ribosomal RNA, partial sequence
demo4	gi|631252759|ref|NR_113957.1|	99.336	300	100	301	1.08e-150	532	Staphylococcus epidermidis strain NBRC 100911 16S ribosomal RNA, partial sequence
demo4	gi|645321498|ref|NR_118450.1|	99.336	300	100	301	1.08e-150	531	Staphylococcus petrasii strain CCM 8418 16S ribosomal RNA, partial sequence
demo4	gi|219856849|ref|NR_024668.1|	99.336	300	100	301	1.08e-150	531	Staphylococcus lugdunensis strain ATCC 43809 16S ribosomal RNA, partial sequence
demo4	gi|2363087273|ref|NR_181892.1|	99.336	300	100	301	1.08e-150	531	Staphylococcus ratti strain CCM 9025 16S ribosomal RNA, partial sequence
demo5	gi|922788119|ref|NR_132590.1|	99.668	300	100	301	8.84e-152	535	Staphylococcus croceilyticus strain MCC10046 16S ribosomal RNA, partial sequence
demo5	gi|1018196584|ref|NR_136463.1|	99.668	300	100	301	8.84e-152	535	Staphylococcus pragensis strain CCM 8529 16S ribosomal RNA, partial sequence
demo5	gi|228715347|ref|NR_027519.1|	99.668	300	100	301	8.84e-152	535	Staphylococcus capitis subsp. urealyticus strain MAW 8436 16S ribosomal RNA, partial sequence
demo5	gi|631252150|ref|NR_113348.1|	99.668	300	100	301	8.84e-152	535	Staphylococcus capitis strain JCM 2420 16S ribosomal RNA, partial sequence
demo5	gi|310974912|ref|NR_036775.1|	99.668	300	100	301	8.84e-152	535	Staphylococcus capitis strain LK 499 16S ribosomal RNA, partial sequence
