sample_id	sseqid	pident	hit_species	raw_species	tax_raw	stitle
demo1	JN175379	97.627	Staphylococcus_caprae	Staphylococcus	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	JN175379.1.1420 Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus caprae
demo1	AF467410	97.627	Staphylococcus_sp	Staphylococcus	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	AF467410.1.1544 Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;uncultured Staphylococcus sp.
demo1	AB233325	97.627	Staphylococcus_capitis	Staphylococcus	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	AB233325.1.1454 Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus capitis subsp. urealyticus
demo1	D83362	97.288	Staphylococcus_epidermidis	Staphylococcus	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	D83362.1.1475 Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis
demo2	FJ957660	100.000	Staphylococcus_sp	Staphylococcus	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	FJ957660.1.1488 Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;uncultured Staphylococcus sp.
demo2	FJ957673	100.000	Staphylococcus_sp	Staphylococcus	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	FJ957673.1.1495 Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;uncultured Staphylococcus sp.
demo2	FJ957666	100.000	Staphylococcus_sp	Staphylococcus	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	FJ957666.1.1439 Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;uncultured Staphylococcus sp.
demo4	KU922362	100.000	Staphylococcus_epidermidis	Staphylococcus	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	KU922362.1.1405 Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis
demo4	FJ957843	100.000	Clostridium_sensu	Clostridium sensu stricto 13	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 13	FJ957843.1.1431 Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 13;uncultured bacterium
demo4	MH518188	100.000	Staphylococcus_epidermidis	Staphylococcus	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	MH518188.1.1460 Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis
demo4	KU922324	100.000	Staphylococcus_epidermidis	Staphylococcus	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	KU922324.1.1397 Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis
demo5	AF467410	99.667	Staphylococcus_sp	Staphylococcus	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	AF467410.1.1544 Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;uncultured Staphylococcus sp.
demo5	AB233325	99.667	Staphylococcus_capitis	Staphylococcus	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	AB233325.1.1454 Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus capitis subsp. urealyticus
demo5	JN175379	99.667	Staphylococcus_caprae	Staphylococcus	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	JN175379.1.1420 Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus caprae
demo5	D83362	99.668	Staphylococcus_epidermidis	Staphylococcus	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	D83362.1.1475 Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis
